ts,lat,lon,temp_c,precip_mm,condition
2025-08-17 03:00:00,41.8781,-87.6298,27.305680316883485,0,clear
2025-08-17 02:00:00,41.8781,-87.6298,24.1003861985673,2.92,light rain
2025-08-17 01:00:00,41.8781,-87.6298,27.952863237530913,0,clear
2025-08-17 00:00:00,41.8781,-87.6298,22.67518895729671,1.72,rain
2025-08-16 23:00:00,41.8781,-87.6298,18.48314244377839,0.87,rain
2025-08-16 22:00:00,41.8781,-87.6298,26.6895737513003,1.24,light rain
2025-08-16 21:00:00,41.8781,-87.6298,23.524185137154475,0,cloudy
2025-08-16 20:00:00,41.8781,-87.6298,20.556716897685565,0.23,light rain
2025-08-16 19:00:00,41.8781,-87.6298,24.512134504024267,0,clear
2025-08-16 18:00:00,41.8781,-87.6298,24.96607090945849,0,cloudy
2025-08-16 17:00:00,41.8781,-87.6298,27.308938421794117,0,clear
2025-08-16 16:00:00,41.8781,-87.6298,27.605521958093718,2.11,rain
2025-08-16 15:00:00,41.8781,-87.6298,19.80857969000931,2.66,rain
2025-08-16 14:00:00,41.8781,-87.6298,23.159548322744143,1.69,light rain
2025-08-16 13:00:00,41.8781,-87.6298,24.113845107418808,2.46,light rain
2025-08-16 12:00:00,41.8781,-87.6298,26.623336949387557,0,cloudy
2025-08-16 11:00:00,41.8781,-87.6298,21.53013872790283,0,cloudy
2025-08-16 10:00:00,41.8781,-87.6298,24.423354546579745,0,cloudy
2025-08-16 09:00:00,41.8781,-87.6298,22.855506079874274,2.71,rain
2025-08-16 08:00:00,41.8781,-87.6298,20.846821731217002,2.05,light rain
2025-08-16 07:00:00,41.8781,-87.6298,26.323282053257635,0.42,light rain
2025-08-16 06:00:00,41.8781,-87.6298,20.13537980521608,1.52,light rain
2025-08-16 05:00:00,41.8781,-87.6298,21.766058205587402,0.55,rain
2025-08-16 04:00:00,41.8781,-87.6298,18.723597680798175,0.81,rain
2025-08-20 05:00:00,41.8781,-87.6298,21.924747490795575,0,clear
2025-08-20 04:00:00,41.8781,-87.6298,21.232559163248073,0,clear
2025-08-20 03:00:00,41.8781,-87.6298,21.73547172688702,0,cloudy
2025-08-20 02:00:00,41.8781,-87.6298,21.095089157847323,0,clear
2025-08-20 01:00:00,41.8781,-87.6298,24.465374874813598,0,clear
2025-08-20 00:00:00,41.8781,-87.6298,25.922344437658875,3.94,rain
2025-08-19 23:00:00,41.8781,-87.6298,19.499702933725896,0,clear
2025-08-19 22:00:00,41.8781,-87.6298,19.319330263574848,0,cloudy
2025-08-19 21:00:00,41.8781,-87.6298,18.58713909566391,0,clear
2025-08-19 20:00:00,41.8781,-87.6298,16.42483495313794,0,clear
2025-08-19 19:00:00,41.8781,-87.6298,17.287001762400877,0,cloudy
2025-08-19 18:00:00,41.8781,-87.6298,17.577477497018066,0,clear
2025-08-19 17:00:00,41.8781,-87.6298,15.374528953742525,0,cloudy
2025-08-19 16:00:00,41.8781,-87.6298,14.545788602629424,2.77,rain
2025-08-19 15:00:00,41.8781,-87.6298,15.546913680164895,1.62,rain
2025-08-19 14:00:00,41.8781,-87.6298,13.786425541583801,0,clear
2025-08-19 13:00:00,41.8781,-87.6298,16.766997913085845,0,clear
2025-08-19 12:00:00,41.8781,-87.6298,15.116505370813666,0.79,light rain
2025-08-19 11:00:00,41.8781,-87.6298,17.56936780804313,0,clear
2025-08-19 10:00:00,41.8781,-87.6298,16.249872592645335,0,clear
2025-08-19 09:00:00,41.8781,-87.6298,16.373888262644087,0,clear
2025-08-19 08:00:00,41.8781,-87.6298,16.832579330314562,0,clear
2025-08-19 07:00:00,41.8781,-87.6298,21.084027529071886,0,clear
2025-08-19 06:00:00,41.8781,-87.6298,20.50261875023166,1.8,light rain
2025-08-19 05:00:00,41.8781,-87.6298,20.64444282176193,0,clear
2025-08-19 04:00:00,41.8781,-87.6298,20.33394833422878,3.66,light rain
2025-08-19 03:00:00,41.8781,-87.6298,20.90896757875039,2.31,light rain
2025-08-19 02:00:00,41.8781,-87.6298,21.704921890988867,0,cloudy
2025-08-19 01:00:00,41.8781,-87.6298,23.146242997042762,0,clear
2025-08-19 00:00:00,41.8781,-87.6298,23.082559341783092,0,clear
2025-08-18 23:00:00,41.8781,-87.6298,18.04599491715695,0,clear
2025-08-18 22:00:00,41.8781,-87.6298,19.859519770226594,1.47,rain
2025-08-18 21:00:00,41.8781,-87.6298,19.382015939342388,0,cloudy
2025-08-18 20:00:00,41.8781,-87.6298,18.441850106816542,0,cloudy
2025-08-18 19:00:00,41.8781,-87.6298,15.778284222651273,0,clear
2025-08-18 18:00:00,41.8781,-87.6298,14.067527270941632,0,clear
2025-08-18 17:00:00,41.8781,-87.6298,14.529332644961471,2.79,light rain
2025-08-18 16:00:00,41.8781,-87.6298,16.29540181089717,0,cloudy
2025-08-18 15:00:00,41.8781,-87.6298,14.676397243570422,3.25,light rain
2025-08-18 14:00:00,41.8781,-87.6298,13.470432736343618,1.84,light rain
2025-08-18 13:00:00,41.8781,-87.6298,15.979731113097356,0,clear
2025-08-18 12:00:00,41.8781,-87.6298,17.316500902592978,2.54,light rain
2025-08-18 11:00:00,41.8781,-87.6298,17.438664324173747,0,cloudy
2025-08-18 10:00:00,41.8781,-87.6298,18.81388019197624,0,cloudy
2025-08-18 09:00:00,41.8781,-87.6298,18.415298271535757,0,clear
2025-08-18 08:00:00,41.8781,-87.6298,18.46061589404841,0.33,rain
2025-08-18 07:00:00,41.8781,-87.6298,20.68629496836712,0,clear
2025-08-18 06:00:00,41.8781,-87.6298,21.296893675930466,0,clear
2025-08-18 05:00:00,41.8781,-87.6298,20.904078694295492,3.98,light rain
2025-08-18 04:00:00,41.8781,-87.6298,21.34871804563867,0,cloudy
2025-08-18 03:00:00,41.8781,-87.6298,22.6722715803465,0,cloudy
2025-08-18 02:00:00,41.8781,-87.6298,23.31104954748332,0,cloudy
2025-08-18 01:00:00,41.8781,-87.6298,21.860609981509263,0,clear
2025-08-18 00:00:00,41.8781,-87.6298,23.811793933245582,0,clear
2025-08-17 23:00:00,41.8781,-87.6298,20.324085898921123,0,clear
2025-08-17 22:00:00,41.8781,-87.6298,18.06876968821145,0,cloudy
2025-08-17 21:00:00,41.8781,-87.6298,18.41500120965005,0,clear
2025-08-17 20:00:00,41.8781,-87.6298,17.4345628680418,0,clear
2025-08-17 19:00:00,41.8781,-87.6298,17.887927618383728,0,clear
2025-08-17 18:00:00,41.8781,-87.6298,15.716159996432737,0,clear
