trip_id,stop_id,sched_ts
STBA,STAGECOACH,2025-08-20 06:00:00
STBA,STAGECOACH,2025-08-19 06:00:00
STBA,STAGECOACH,2025-08-18 06:00:00
STBA,STAGECOACH,2025-08-17 06:00:00
STBA,STAGECOACH,2025-08-16 06:00:00
STBA,STAGECOACH,2025-08-15 06:00:00
STBA,STAGECOACH,2025-08-14 06:00:00
STBA,BEATTY_AIRPORT,2025-08-20 06:20:00
STBA,BEATTY_AIRPORT,2025-08-19 06:20:00
STBA,BEATTY_AIRPORT,2025-08-18 06:20:00
STBA,BEATTY_AIRPORT,2025-08-17 06:20:00
STBA,BEATTY_AIRPORT,2025-08-16 06:20:00
STBA,BEATTY_AIRPORT,2025-08-15 06:20:00
STBA,BEATTY_AIRPORT,2025-08-14 06:20:00
CITY1,STAGECOACH,2025-08-20 06:00:00
CITY1,STAGECOACH,2025-08-19 06:00:00
CITY1,STAGECOACH,2025-08-18 06:00:00
CITY1,STAGECOACH,2025-08-17 06:00:00
CITY1,STAGECOACH,2025-08-16 06:00:00
CITY1,STAGECOACH,2025-08-15 06:00:00
CITY1,STAGECOACH,2025-08-14 06:00:00
CITY1,NANAA,2025-08-20 06:05:00
CITY1,NANAA,2025-08-19 06:05:00
CITY1,NANAA,2025-08-18 06:05:00
CITY1,NANAA,2025-08-17 06:05:00
CITY1,NANAA,2025-08-16 06:05:00
CITY1,NANAA,2025-08-15 06:05:00
CITY1,NANAA,2025-08-14 06:05:00
CITY1,NADAV,2025-08-20 06:12:00
CITY1,NADAV,2025-08-19 06:12:00
CITY1,NADAV,2025-08-18 06:12:00
CITY1,NADAV,2025-08-17 06:12:00
CITY1,NADAV,2025-08-16 06:12:00
CITY1,NADAV,2025-08-15 06:12:00
CITY1,NADAV,2025-08-14 06:12:00
CITY1,DADAN,2025-08-20 06:19:00
CITY1,DADAN,2025-08-19 06:19:00
CITY1,DADAN,2025-08-18 06:19:00
CITY1,DADAN,2025-08-17 06:19:00
CITY1,DADAN,2025-08-16 06:19:00
CITY1,DADAN,2025-08-15 06:19:00
CITY1,DADAN,2025-08-14 06:19:00
CITY1,EMSI,2025-08-20 06:26:00
CITY1,EMSI,2025-08-19 06:26:00
CITY1,EMSI,2025-08-18 06:26:00
