trip_id,stop_id,actual_ts,vehicle_id
STBA,STAGECOACH,2025-08-20 06:03:00,sim-54
STBA,STAGECOACH,2025-08-19 06:02:00,sim-54
STBA,STAGECOACH,2025-08-18 05:56:00,sim-54
STBA,STAGECOACH,2025-08-17 06:04:00,sim-54
STBA,STAGECOACH,2025-08-16 05:58:00,sim-54
STBA,STAGECOACH,2025-08-15 06:04:00,sim-54
STBA,STAGECOACH,2025-08-14 06:07:00,sim-54
STBA,BEATTY_AIRPORT,2025-08-20 06:17:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-19 06:18:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-18 06:22:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-17 06:20:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-16 06:21:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-15 06:26:00,sim-3
STBA,BEATTY_AIRPORT,2025-08-14 06:20:00,sim-3
CITY1,STAGECOACH,2025-08-20 06:05:00,sim-12
CITY1,STAGECOACH,2025-08-19 06:04:00,sim-12
CITY1,STAGECOACH,2025-08-18 06:01:00,sim-12
CITY1,STAGECOACH,2025-08-17 06:04:00,sim-12
CITY1,STAGECOACH,2025-08-16 06:03:00,sim-12
CITY1,STAGECOACH,2025-08-15 06:04:00,sim-12
CITY1,STAGECOACH,2025-08-14 06:00:00,sim-12
CITY1,NANAA,2025-08-20 06:09:00,sim-47
CITY1,NANAA,2025-08-19 06:02:00,sim-47
CITY1,NANAA,2025-08-18 06:05:00,sim-47
CITY1,NANAA,2025-08-17 06:06:00,sim-47
CITY1,NANAA,2025-08-16 06:09:00,sim-47
CITY1,NANAA,2025-08-15 06:06:00,sim-47
CITY1,NANAA,2025-08-14 06:09:00,sim-47
CITY1,NADAV,2025-08-20 06:20:00,sim-98
CITY1,NADAV,2025-08-19 06:13:00,sim-98
CITY1,NADAV,2025-08-18 06:19:00,sim-98
CITY1,NADAV,2025-08-17 06:20:00,sim-98
CITY1,NADAV,2025-08-16 06:17:00,sim-98
CITY1,NADAV,2025-08-15 06:16:00,sim-98
CITY1,NADAV,2025-08-14 06:16:00,sim-98
CITY1,DADAN,2025-08-20 06:21:00,sim-59
CITY1,DADAN,2025-08-19 06:15:00,sim-59
CITY1,DADAN,2025-08-18 06:19:00,sim-59
CITY1,DADAN,2025-08-17 06:25:00,sim-59
CITY1,DADAN,2025-08-16 06:24:00,sim-59
CITY1,DADAN,2025-08-15 06:27:00,sim-59
CITY1,DADAN,2025-08-14 06:25:00,sim-59
CITY1,EMSI,2025-08-20 06:28:00,sim-52
CITY1,EMSI,2025-08-19 06:32:00,sim-52
CITY1,EMSI,2025-08-18 06:31:00,sim-52
CITY1,EMSI,2025-08-17 06:31:00,sim-52
CITY1,EMSI,2025-08-16 06:30:00,sim-52
CITY1,EMSI,2025-08-15 06:26:00,sim-52
CITY1,EMSI,2025-08-14 06:33:00,sim-52
CITY2,EMSI,2025-08-20 06:28:00,sim-31
CITY2,EMSI,2025-08-19 06:36:00,sim-31
CITY2,EMSI,2025-08-18 06:36:00,sim-31
CITY2,EMSI,2025-08-17 06:29:00,sim-31
CITY2,EMSI,2025-08-16 06:31:00,sim-31
CITY2,EMSI,2025-08-15 06:33:00,sim-31
CITY2,EMSI,2025-08-14 06:30:00,sim-31
CITY2,DADAN,2025-08-20 06:34:00,sim-52
CITY2,DADAN,2025-08-19 06:34:00,sim-52
CITY2,DADAN,2025-08-18 06:31:00,sim-52
CITY2,DADAN,2025-08-17 06:35:00,sim-52
CITY2,DADAN,2025-08-16 06:43:00,sim-52
CITY2,DADAN,2025-08-15 06:34:00,sim-52
CITY2,DADAN,2025-08-14 06:37:00,sim-52
CITY2,NADAV,2025-08-20 06:49:00,sim-35
CITY2,NADAV,2025-08-19 06:44:00,sim-35
CITY2,NADAV,2025-08-18 06:49:00,sim-35
CITY2,NADAV,2025-08-17 06:42:00,sim-35
CITY2,NADAV,2025-08-16 06:39:00,sim-35
CITY2,NADAV,2025-08-15 06:46:00,sim-35
CITY2,NADAV,2025-08-14 06:46:00,sim-35
CITY2,NANAA,2025-08-20 06:51:00,sim-36
CITY2,NANAA,2025-08-19 06:51:00,sim-36
CITY2,NANAA,2025-08-18 06:56:00,sim-36
CITY2,NANAA,2025-08-17 06:52:00,sim-36
CITY2,NANAA,2025-08-16 06:50:00,sim-36
CITY2,NANAA,2025-08-15 06:55:00,sim-36
CITY2,NANAA,2025-08-14 06:52:00,sim-36
CITY2,STAGECOACH,2025-08-20 07:00:00,sim-21
CITY2,STAGECOACH,2025-08-19 06:53:00,sim-21
CITY2,STAGECOACH,2025-08-18 06:58:00,sim-21
CITY2,STAGECOACH,2025-08-17 06:56:00,sim-21
CITY2,STAGECOACH,2025-08-16 06:55:00,sim-21
CITY2,STAGECOACH,2025-08-15 07:00:00,sim-21
CITY2,STAGECOACH,2025-08-14 06:56:00,sim-21
AB1,BEATTY_AIRPORT,2025-08-20 08:00:00,sim-14
AB1,BEATTY_AIRPORT,2025-08-19 08:01:00,sim-14
AB1,BEATTY_AIRPORT,2025-08-18 08:02:00,sim-14
AB1,BEATTY_AIRPORT,2025-08-17 08:01:00,sim-14
AB1,BEATTY_AIRPORT,2025-08-16 08:08:00,sim-14
